Test,solved,not_solved,avg_time_s,min_time_s,max_time_s,avg_steps,min_steps,max_steps,avg_pulls,min_pulls,max_pulls,total_time_s
easy_map1.yaml,10,0,0.030000,0.03,0.03,1573,1573,1573,0,0,0,1745778615.000000
easy_map2.yaml,10,0,0.013000,0.01,0.02,731,731,731,0,0,0,1745778618.000000
hard_map1.yaml,10,0,0.296000,0.29,0.3,7720,7720,7720,0,0,0,1745778625.000000
hard_map2.yaml,10,0,0.137000,0.13,0.14,5445,5445,5445,0,0,0,1745778629.000000
large_map1.yaml,10,0,0.809000,0.8,0.81,7297,7297,7297,0,0,0,1745778642.000000
large_map2.yaml,0,10,0.000000,9999,0.0,0,9999999,0,0,9999999,0,1745778691.000000
medium_map1.yaml,10,0,0.000000,0,0,43,43,43,0,0,0,1745778694.000000
medium_map2.yaml,10,0,2.611000,2.6,2.62,2846,2846,2846,0,0,0,1745778730.000000
super_hard_map1.yaml,10,0,4.317000,4.3,4.34,7519,7519,7519,0,0,0,1745778784.000000
